"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-04",,"59","72",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-05",,"65","85",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-06",,"68","85",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-07",,"63","67",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-08",,"63","74",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-09",,"64","77",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-10",,"63","80",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-11",,"64","80","50"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-12","0.17","59","71","54"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-13","0.01","59","69",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-14","0.00","63","78",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-15",,"64","83",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-16",,"59","83",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-17",,"59","78","40"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-18",,"60","78",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-19",,"59","75",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-20",,"57","73",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-21",,"62","75",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-22",,"65","76",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-23",,"68","84",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-24",,"65","84",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-25",,"63","75",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-26",,"62","76","50"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-27",,"66","82",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-28",,"65","82",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-29",,"62","74",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-30",,"62","69",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-07-31",,"61","75",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-01",,"64","85",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-02",,"61","85",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-03",,"64","85",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-04",,"64","85",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-05",,"62","80",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-06",,"68","79","59"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-07","0.01","65","75",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-08","0.00","67","76","58"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-09",,"59","76",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-10","0.07","58","67",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-11","0.02","57","67",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-12","0.00","58","69",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-13",,"59","74",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-14",,"63","77",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-15",,"61","77",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-16",,"64",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-17",,"63","73",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-18",,"65","79",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-19",,"62","79","58"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-20",,"59","68",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-21",,"60","72",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-22",,"67",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-23",,"65",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-24",,"63","71",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-25",,"68","76","60"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-26",,"71","87","60"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-27",,"64","87",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-28",,"64","75","53"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-29",,"69","74","60"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-30",,"70",,"61"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-08-31",,"67","85","55"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-01",,"68","85",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-02","0.02","66","74","60"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-03","0.05","64","69","60"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-04","0.00","65","74",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-05",,"69","76","59"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-06",,"68","76",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-07",,"64","76","60"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-08",,"65","71","60"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-09",,"67","75","61"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-10",,"68","75",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-11","0.11","60","73",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-12","0.02","68","83",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-13","0.00","67","83",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-14",,"80","107",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-15",,"72",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-16","0.03","64","77","61"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-17","0.03","65","71","61"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-18","0.00","68","76","58"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-19",,"72","80","66"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-20",,"72","80","67"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-21",,"71",,
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-22",,"70","76","63"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-23",,"70","78",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-24",,"67","78",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-25",,"66","73","62"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-26","0.06","72","85","64"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-27","0.00","67","85",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-28","0.13","63","73","58"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-29","0.01","67","77","57"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-09-30","0.00","68","82",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-01",,"71","82","60"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-02",,"71","82","67"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-03",,"69","76",
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-04","0.01","64","76","62"
"SFM00068592","KING SHAKA INTERNATIONAL AIRPORT, SF","2010-10-05","0.00","65","69","62"
